reference_layout=2
COMPARATOR SELFTEST PASS exact/nonfinite/poison/guard/control counts
draws1000/50000 exact finite1.000000 controls1000/1000 control_moved_fraction0.499276
draws2000/50000 exact finite1.000000 controls2000/2000 control_moved_fraction0.499276
draws3000/50000 exact finite1.000000 controls3000/3000 control_moved_fraction0.499276
draws4000/50000 exact finite1.000000 controls4000/4000 control_moved_fraction0.499276
draws5000/50000 exact finite1.000000 controls5000/5000 control_moved_fraction0.499276
draws6000/50000 exact finite1.000000 controls6000/6000 control_moved_fraction0.499276
draws7000/50000 exact finite1.000000 controls7000/7000 control_moved_fraction0.499276
draws8000/50000 exact finite1.000000 controls8000/8000 control_moved_fraction0.499276
draws9000/50000 exact finite1.000000 controls9000/9000 control_moved_fraction0.499276
draws10000/50000 exact finite1.000000 controls10000/10000 control_moved_fraction0.499276
draws11000/50000 exact finite1.000000 controls11000/11000 control_moved_fraction0.499276
draws12000/50000 exact finite1.000000 controls12000/12000 control_moved_fraction0.499276
draws13000/50000 exact finite1.000000 controls13000/13000 control_moved_fraction0.499276
draws14000/50000 exact finite1.000000 controls14000/14000 control_moved_fraction0.499276
draws15000/50000 exact finite1.000000 controls15000/15000 control_moved_fraction0.499276
draws16000/50000 exact finite1.000000 controls16000/16000 control_moved_fraction0.499276
draws17000/50000 exact finite1.000000 controls17000/17000 control_moved_fraction0.499276
draws18000/50000 exact finite1.000000 controls18000/18000 control_moved_fraction0.499276
draws19000/50000 exact finite1.000000 controls19000/19000 control_moved_fraction0.499276
draws20000/50000 exact finite1.000000 controls20000/20000 control_moved_fraction0.499276
draws21000/50000 exact finite1.000000 controls21000/21000 control_moved_fraction0.499276
draws22000/50000 exact finite1.000000 controls22000/22000 control_moved_fraction0.499276
draws23000/50000 exact finite1.000000 controls23000/23000 control_moved_fraction0.499276
draws24000/50000 exact finite1.000000 controls24000/24000 control_moved_fraction0.499276
draws25000/50000 exact finite1.000000 controls25000/25000 control_moved_fraction0.499276
draws26000/50000 exact finite1.000000 controls26000/26000 control_moved_fraction0.499276
draws27000/50000 exact finite1.000000 controls27000/27000 control_moved_fraction0.499276
draws28000/50000 exact finite1.000000 controls28000/28000 control_moved_fraction0.499276
draws29000/50000 exact finite1.000000 controls29000/29000 control_moved_fraction0.499276
draws30000/50000 exact finite1.000000 controls30000/30000 control_moved_fraction0.499276
draws31000/50000 exact finite1.000000 controls31000/31000 control_moved_fraction0.499276
draws32000/50000 exact finite1.000000 controls32000/32000 control_moved_fraction0.499276
draws33000/50000 exact finite1.000000 controls33000/33000 control_moved_fraction0.499276
draws34000/50000 exact finite1.000000 controls34000/34000 control_moved_fraction0.499276
draws35000/50000 exact finite1.000000 controls35000/35000 control_moved_fraction0.499276
draws36000/50000 exact finite1.000000 controls36000/36000 control_moved_fraction0.499276
draws37000/50000 exact finite1.000000 controls37000/37000 control_moved_fraction0.499276
draws38000/50000 exact finite1.000000 controls38000/38000 control_moved_fraction0.499276
draws39000/50000 exact finite1.000000 controls39000/39000 control_moved_fraction0.499276
draws40000/50000 exact finite1.000000 controls40000/40000 control_moved_fraction0.499276
draws41000/50000 exact finite1.000000 controls41000/41000 control_moved_fraction0.499276
draws42000/50000 exact finite1.000000 controls42000/42000 control_moved_fraction0.499276
draws43000/50000 exact finite1.000000 controls43000/43000 control_moved_fraction0.499276
draws44000/50000 exact finite1.000000 controls44000/44000 control_moved_fraction0.499276
draws45000/50000 exact finite1.000000 controls45000/45000 control_moved_fraction0.499276
draws46000/50000 exact finite1.000000 controls46000/46000 control_moved_fraction0.499276
draws47000/50000 exact finite1.000000 controls47000/47000 control_moved_fraction0.499276
draws48000/50000 exact finite1.000000 controls48000/48000 control_moved_fraction0.499276
draws49000/50000 exact finite1.000000 controls49000/49000 control_moved_fraction0.499276
draws50000/50000 exact finite1.000000 controls50000/50000 control_moved_fraction0.499276
PASS draws50000 words1692050000 finite1.000000 controls50000 control_moved_fraction0.499276 determinism1000/1000
