id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp
case_000	17	32	8.621180716007359	0.26941189737522997	1	18
case_001	18	32	10.147753412693913	0.31711729414668477	1	4
case_002	19	32	11.775687539709079	0.3679902356159087	1	3
case_003	19	32	6.660144841759898	0.20812952630499681	1	1
case_004	15	32	24.989178155626	0.7809118173633125	1	16
case_005	14	32	3.982545081770244	0.12445453380532012	1	28
case_006	18	32	11.949772653154668	0.37343039541108336	1	7
case_007	14	32	12.695538979857474	0.39673559312054607	1	10
case_008	20	32	10.210560226291058	0.31908000707159556	0	0
case_009	17	32	14.59875770839946	0.45621117838748315	0	0
case_010	26	32	5.964020690828203	0.18637564658838135	1	23
case_011	21	32	12.578387610263484	0.39307461282073386	1	1
case_012	22	32	1.299108125264393	0.04059712891451228	1	32
case_013	22	32	4.485087324808916	0.14015897890027862	1	17
case_014	21	32	1.410563519411049	0.044080109981595283	1	32
case_015	22	32	8.556244650674977	0.267382645333593	1	14
case_016	19	32	9.641997655330552	0.30131242672907976	1	6
case_017	26	32	8.307903448861861	0.25962198277693316	1	7
case_018	25	32	1.8932629596126205	0.05916446748789439	1	30
case_019	19	32	4.537494254622381	0.1417966954569494	1	18
case_020	18	32	14.436901253896202	0.45115316418425633	1	23
case_021	18	32	2.5907537135473753	0.08096105354835548	0	0
case_022	16	32	7.431664258002463	0.23223950806257698	1	10
case_023	14	32	9.887538160613623	0.3089855675191757	1	14
case_024	15	32	23.857439813480358	0.7455449941712612	1	15
case_025	20	32	7.149063437959576	0.22340823243623675	1	12
case_026	17	32	10.924566354822879	0.34139269858821497	1	4
case_027	14	32	19.883379453336204	0.6213556079167564	1	15
case_028	16	32	7.095928998077863	0.2217477811899332	1	15
case_029	18	32	13.296402928389238	0.4155125915121637	1	7
case_030	23	32	5.425705822819854	0.16955330696312043	1	11
case_031	22	32	9.734046693276813	0.3041889591649004	1	4
case_032	18	32	1.9448393063212208	0.06077622832253815	1	30
case_033	15	32	0.9583938832321692	0.02994980885100529	1	32
case_034	22	32	10.642152584334625	0.332567268260457	1	14
case_035	23	32	5.214126179525529	0.16294144311017278	1	18
case_036	21	32	1.5407460835882674	0.048148315112133355	1	32
case_037	18	32	6.843511843635504	0.2138597451136095	1	12
case_038	26	32	1.6876482042828016	0.05273900638383755	1	20
case_039	23	32	4.522879051287013	0.14133997035271917	1	18
case_040	21	32	8.161746696923913	0.2550545842788723	0	0
case_041	15	32	11.29399116015017	0.35293722375469283	1	16
case_042	14	32	11.581294795990928	0.3619154623747165	1	8
case_043	18	32	1.6859967823357813	0.052687399447993166	0	0
case_044	20	32	13.076040573387	0.4086262679183438	1	4
case_045	18	32	16.476202466024734	0.5148813270632729	1	15
case_046	19	32	2.4867071338160542	0.0777095979317517	1	17
case_047	16	32	11.841257142991868	0.37003928571849587	1	9
case_048	18	32	9.346710698857358	0.2920847093392924	1	1
case_049	18	32	10.562527394523983	0.33007898107887446	1	13
case_050	27	32	5.539768444622734	0.17311776389446043	1	1
case_051	21	32	7.67534970512888	0.2398546782852775	1	18
case_052	19	32	2.9201068405798907	0.09125333876812158	1	27
case_053	22	32	5.539220087486655	0.17310062773395796	0	0
case_054	24	32	1.9445294714265273	0.06076654598207898	1	26
case_055	25	32	4.038854135638665	0.1262141917387083	1	19
case_056	18	32	3.6034755495214554	0.11260861092254548	1	17
case_057	22	32	6.281587831785689	0.1962996197433028	1	20
case_058	25	32	1.8941124413966435	0.05919101379364511	1	32
case_059	23	32	9.996953843292673	0.312404807602896	0	0
case_060	17	32	1.7698014720892274	0.05530629600278836	0	0
case_061	16	32	8.525748314612407	0.26642963483163773	1	10
case_062	14	32	7.268523981264288	0.227141374414509	1	12
case_063	15	32	7.722834037743581	0.24133856367948692	1	13
case_064	12	32	10.467959632953338	0.3271237385297918	1	9
case_065	15	32	2.86500169480459	0.08953130296264344	1	1
case_066	16	32	15.781376007414742	0.4931680002317107	1	13
case_067	17	32	11.513734007173014	0.3598041877241567	1	20
case_068	17	32	8.781548036808868	0.2744233761502771	1	14
case_069	18	32	12.600447479389985	0.393763983730937	1	9
case_070	24	32	5.360905040421645	0.16752828251317642	1	3
case_071	24	32	5.017061243086459	0.15678316384645186	1	22
case_072	17	32	3.669873244730333	0.1146835388978229	1	9
case_073	15	32	1.5620658263877516	0.04881455707461724	1	32
case_074	15	32	2.773185778732852	0.08666205558540163	1	21
case_075	16	32	4.133594758254475	0.12917483619545234	1	21
case_076	22	32	3.947833961908337	0.12336981130963554	1	4
case_077	24	32	6.915399645225488	0.2161062389132965	1	21
case_078	28	32	5.67710570686959	0.17740955333967467	0	0
case_079	20	32	13.8822850323565	0.4338214072611406	1	14
case_080	13	32	13.938891512017605	0.43559035975055016	1	11
case_081	13	32	22.675270460306113	0.708602201884566	0	0
case_082	16	32	7.239740633456826	0.2262418947955258	1	8
case_083	19	17	1.6351471415987362e-05	9.618512597639625e-07	1	17
case_084	23	11	2.8479294691408086e-05	2.589026790128008e-06	1	11
case_085	18	32	5.2137598031853685	0.16292999384954276	1	21
case_086	16	32	14.679928117511366	0.4587477536722302	1	10
case_087	12	32	6.503219377318686	0.20322560554120894	1	6
case_088	14	32	12.309583793486606	0.38467449354645644	0	0
case_089	12	32	4.651593646527026	0.14536230145396956	1	30
case_090	17	32	10.926790136639909	0.34146219176999715	1	14
case_091	14	32	11.92869012689696	0.37277156646553	1	9
case_092	15	32	6.631523305187024	0.2072351032870945	1	1
case_093	17	32	5.57446585913754	0.17420205809804812	1	12
case_094	16	1	0.0006559671940991052	0.0006559671940991052	1	1
case_095	17	2	0.10158228938065861	0.050791144690329304	1	2
case_096	15	5	2.4226118256365226e-05	4.8452236512730454e-06	1	5
case_097	22	1	0.4479330647472679	0.4479330647472679	1	1
case_098	20	7	2.88270002978944	0.41181428996992003	0	0
case_099	22	6	0.7159144707041456	0.11931907845069094	1	5
