comparator selftest shape0 round0 PASS
shape0 round0 draws1000/50000 exact finite1.000000 controls1000
shape0 round0 draws2000/50000 exact finite1.000000 controls2000
shape0 round0 draws3000/50000 exact finite1.000000 controls3000
shape0 round0 draws4000/50000 exact finite1.000000 controls4000
shape0 round0 draws5000/50000 exact finite1.000000 controls5000
shape0 round0 draws6000/50000 exact finite1.000000 controls6000
shape0 round0 draws7000/50000 exact finite1.000000 controls7000
shape0 round0 draws8000/50000 exact finite1.000000 controls8000
shape0 round0 draws9000/50000 exact finite1.000000 controls9000
shape0 round0 draws10000/50000 exact finite1.000000 controls10000
shape0 round0 draws11000/50000 exact finite1.000000 controls11000
shape0 round0 draws12000/50000 exact finite1.000000 controls12000
shape0 round0 draws13000/50000 exact finite1.000000 controls13000
shape0 round0 draws14000/50000 exact finite1.000000 controls14000
shape0 round0 draws15000/50000 exact finite1.000000 controls15000
shape0 round0 draws16000/50000 exact finite1.000000 controls16000
shape0 round0 draws17000/50000 exact finite1.000000 controls17000
shape0 round0 draws18000/50000 exact finite1.000000 controls18000
shape0 round0 draws19000/50000 exact finite1.000000 controls19000
shape0 round0 draws20000/50000 exact finite1.000000 controls20000
shape0 round0 draws21000/50000 exact finite1.000000 controls21000
shape0 round0 draws22000/50000 exact finite1.000000 controls22000
shape0 round0 draws23000/50000 exact finite1.000000 controls23000
shape0 round0 draws24000/50000 exact finite1.000000 controls24000
shape0 round0 draws25000/50000 exact finite1.000000 controls25000
shape0 round0 draws26000/50000 exact finite1.000000 controls26000
shape0 round0 draws27000/50000 exact finite1.000000 controls27000
shape0 round0 draws28000/50000 exact finite1.000000 controls28000
shape0 round0 draws29000/50000 exact finite1.000000 controls29000
shape0 round0 draws30000/50000 exact finite1.000000 controls30000
shape0 round0 draws31000/50000 exact finite1.000000 controls31000
shape0 round0 draws32000/50000 exact finite1.000000 controls32000
shape0 round0 draws33000/50000 exact finite1.000000 controls33000
shape0 round0 draws34000/50000 exact finite1.000000 controls34000
shape0 round0 draws35000/50000 exact finite1.000000 controls35000
shape0 round0 draws36000/50000 exact finite1.000000 controls36000
shape0 round0 draws37000/50000 exact finite1.000000 controls37000
shape0 round0 draws38000/50000 exact finite1.000000 controls38000
shape0 round0 draws39000/50000 exact finite1.000000 controls39000
shape0 round0 draws40000/50000 exact finite1.000000 controls40000
shape0 round0 draws41000/50000 exact finite1.000000 controls41000
shape0 round0 draws42000/50000 exact finite1.000000 controls42000
shape0 round0 draws43000/50000 exact finite1.000000 controls43000
shape0 round0 draws44000/50000 exact finite1.000000 controls44000
shape0 round0 draws45000/50000 exact finite1.000000 controls45000
shape0 round0 draws46000/50000 exact finite1.000000 controls46000
shape0 round0 draws47000/50000 exact finite1.000000 controls47000
shape0 round0 draws48000/50000 exact finite1.000000 controls48000
shape0 round0 draws49000/50000 exact finite1.000000 controls49000
shape0 round0 draws50000/50000 exact finite1.000000 controls50000
PASS shape0 round0 draws50000 words256000000 finite1.000000 controls50000 determinism1000/1000
comparator selftest shape0 round1 PASS
shape0 round1 draws1000/50000 exact finite1.000000 controls1000
shape0 round1 draws2000/50000 exact finite1.000000 controls2000
shape0 round1 draws3000/50000 exact finite1.000000 controls3000
shape0 round1 draws4000/50000 exact finite1.000000 controls4000
shape0 round1 draws5000/50000 exact finite1.000000 controls5000
shape0 round1 draws6000/50000 exact finite1.000000 controls6000
shape0 round1 draws7000/50000 exact finite1.000000 controls7000
shape0 round1 draws8000/50000 exact finite1.000000 controls8000
shape0 round1 draws9000/50000 exact finite1.000000 controls9000
shape0 round1 draws10000/50000 exact finite1.000000 controls10000
shape0 round1 draws11000/50000 exact finite1.000000 controls11000
shape0 round1 draws12000/50000 exact finite1.000000 controls12000
shape0 round1 draws13000/50000 exact finite1.000000 controls13000
shape0 round1 draws14000/50000 exact finite1.000000 controls14000
shape0 round1 draws15000/50000 exact finite1.000000 controls15000
shape0 round1 draws16000/50000 exact finite1.000000 controls16000
shape0 round1 draws17000/50000 exact finite1.000000 controls17000
shape0 round1 draws18000/50000 exact finite1.000000 controls18000
shape0 round1 draws19000/50000 exact finite1.000000 controls19000
shape0 round1 draws20000/50000 exact finite1.000000 controls20000
shape0 round1 draws21000/50000 exact finite1.000000 controls21000
shape0 round1 draws22000/50000 exact finite1.000000 controls22000
shape0 round1 draws23000/50000 exact finite1.000000 controls23000
shape0 round1 draws24000/50000 exact finite1.000000 controls24000
shape0 round1 draws25000/50000 exact finite1.000000 controls25000
shape0 round1 draws26000/50000 exact finite1.000000 controls26000
shape0 round1 draws27000/50000 exact finite1.000000 controls27000
shape0 round1 draws28000/50000 exact finite1.000000 controls28000
shape0 round1 draws29000/50000 exact finite1.000000 controls29000
shape0 round1 draws30000/50000 exact finite1.000000 controls30000
shape0 round1 draws31000/50000 exact finite1.000000 controls31000
shape0 round1 draws32000/50000 exact finite1.000000 controls32000
shape0 round1 draws33000/50000 exact finite1.000000 controls33000
shape0 round1 draws34000/50000 exact finite1.000000 controls34000
shape0 round1 draws35000/50000 exact finite1.000000 controls35000
shape0 round1 draws36000/50000 exact finite1.000000 controls36000
shape0 round1 draws37000/50000 exact finite1.000000 controls37000
shape0 round1 draws38000/50000 exact finite1.000000 controls38000
shape0 round1 draws39000/50000 exact finite1.000000 controls39000
shape0 round1 draws40000/50000 exact finite1.000000 controls40000
shape0 round1 draws41000/50000 exact finite1.000000 controls41000
shape0 round1 draws42000/50000 exact finite1.000000 controls42000
shape0 round1 draws43000/50000 exact finite1.000000 controls43000
shape0 round1 draws44000/50000 exact finite1.000000 controls44000
shape0 round1 draws45000/50000 exact finite1.000000 controls45000
shape0 round1 draws46000/50000 exact finite1.000000 controls46000
shape0 round1 draws47000/50000 exact finite1.000000 controls47000
shape0 round1 draws48000/50000 exact finite1.000000 controls48000
shape0 round1 draws49000/50000 exact finite1.000000 controls49000
shape0 round1 draws50000/50000 exact finite1.000000 controls50000
PASS shape0 round1 draws50000 words256000000 finite1.000000 controls50000 determinism1000/1000
comparator selftest shape1 round0 PASS
shape1 round0 draws1000/50000 exact finite1.000000 controls1000
shape1 round0 draws2000/50000 exact finite1.000000 controls2000
shape1 round0 draws3000/50000 exact finite1.000000 controls3000
shape1 round0 draws4000/50000 exact finite1.000000 controls4000
shape1 round0 draws5000/50000 exact finite1.000000 controls5000
shape1 round0 draws6000/50000 exact finite1.000000 controls6000
shape1 round0 draws7000/50000 exact finite1.000000 controls7000
shape1 round0 draws8000/50000 exact finite1.000000 controls8000
shape1 round0 draws9000/50000 exact finite1.000000 controls9000
shape1 round0 draws10000/50000 exact finite1.000000 controls10000
shape1 round0 draws11000/50000 exact finite1.000000 controls11000
shape1 round0 draws12000/50000 exact finite1.000000 controls12000
shape1 round0 draws13000/50000 exact finite1.000000 controls13000
shape1 round0 draws14000/50000 exact finite1.000000 controls14000
shape1 round0 draws15000/50000 exact finite1.000000 controls15000
shape1 round0 draws16000/50000 exact finite1.000000 controls16000
shape1 round0 draws17000/50000 exact finite1.000000 controls17000
shape1 round0 draws18000/50000 exact finite1.000000 controls18000
